open_secrets_id,full_name,first_name,last_name,state,chamber,top_donors_link,website,twitter,facebook,instagram,youtube,picture
N00044335,Dan Bishop,Dan,Bishop,N.C.,House ,https://www.opensecrets.org/members-of-congress/dan-bishop/contributors?cid=N00044335&cycle=2020&recs=100&type=C,danbishop.house.gov,RepDanBishop,danbishopnc,repdanbishop,UC232T_AFZLsD5OFed5NdUcA,dan_bishop.png
N00039551,Ted Budd,Ted,Budd,N.C.,House ,https://www.opensecrets.org/members-of-congress/ted-budd/contributors?cid=N00039551&cycle=2020&recs=100&type=C,budd.house.gov,buddforcongress,tedbuddforcongress,ted.budd,UCrGL4gLjNu2Noz1FPuPuIrg,ted_budd.png
,Madison Cawthorn,Madison,Cawthorn,N.C.,House ,,madisoncawthorn.com,CawthornforNC,Cawthorn2020/,madisoncawthorn,UC6LdoRgwLaHA7ylghwJ56vQ,madison_cawthorn.png
N00026166,Virginia Foxx,Virginia,Foxx,N.C.,House ,https://www.opensecrets.org/members-of-congress/virginia-foxx/contributors?cid=N00026166&cycle=2020&recs=100&type=C,foxx.house.gov,foxxforcongress,RepVirginiaFoxx,repvirginiafoxx,,virginia_foxx.png
N00033630,Richard Hudson,Richard,Hudson,N.C.,House ,https://www.opensecrets.org/members-of-congress/richard-hudson/contributors?cid=N00033630&cycle=2020&recs=100&type=C,hudson.house.gov,richhudson,RepRichHudson,reprichhudson,,richard_hudson.png
N00044027,Gregory Murphy,Gregory,Murphy,N.C.,House ,https://www.opensecrets.org/members-of-congress/gregory-murphy/contributors?cid=N00044027&cycle=2020&recs=100&type=C,gregmurphy.house.gov,GMMD4Greenville,murphy4congress,,UC1Kgt6IgRzDYWjoRaWtozxg,gregory_murphy.png
N00033527,David Rouzer,David,Rouzer,N.C.,House ,https://www.opensecrets.org/members-of-congress/david-rouzer/contributors?cid=N00033527&cycle=2020&recs=100&type=C,rouzer.house.gov,RepDavidRouzer,RepRouzer,repdavidrouzer,UCBvOxpqoGi1HlHjX9v_gHZw,david_rouzer.png
N00042164,Jeff Van Drew,Jeff,Van Drew,N.J.,House ,https://www.opensecrets.org/members-of-congress/jeff-van-drew/contributors?cid=N00042164&cycle=2020&recs=100&type=C,vandrew.house.gov,CongressmanJVD,VanDrewForCongress,jeffvandrew,UCc5AGO_bQLeiv313Bbr35fg,jeff_van_drew.png
,Yvette Herrell,Yvette,Herrell,N.M.,House ,,yvetteherrell.com,Yvette4congress,HerrellForCongress,yvetteherrell2020/,,yvette_herrell.png
N00044575,Chris Jacobs,Chris,Jacobs,N.Y.,House ,https://www.opensecrets.org/members-of-congress/chris-jacobs/contributors?cid=N00044575&cycle=2020&recs=100&type=C,jacobs.house.gov,JacobsforSenate,SenatorChrisJacobs,senatorchrisjacobs,,chris_jacobs.png
,Nicole Malliotakis,Nicole,Malliotakis,N.Y.,House ,,nicolemalliotakis.com,NMalliotakis,NMalliotakis,nmalliotakis,,nicole_malliotakis.png
N00035523,Elise M. Stefanik,Elise,Stefanik,N.Y.,House ,https://www.opensecrets.org/members-of-congress/elise-stefanik/contributors?cid=N00035523&cycle=2020&recs=100&type=C,stefanik.house.gov,RepStefanik,RepEliseStefanik,elisestefanik,UCtuMoBotjBRnw7DdAfv_Abg,elise_m._stefanik.png
N00029404,Lee Zeldin,Lee,Zeldin,N.Y.,House ,https://www.opensecrets.org/members-of-congress/lee-zeldin/contributors?cid=N00029404&cycle=2020&recs=100&type=C,zeldin.house.gov,leezeldin,LeeMZeldin,repleezeldin,UCHzZuesCPDka2NhZO8icqzA,lee_zeldin.png
N00027623,Adrian Smith,Adrian,Smith,Neb.,House ,https://www.opensecrets.org/members-of-congress/adrian-smith/contributors?cid=N00027623&cycle=2020&recs=100&type=C,adriansmith.house.gov,RepAdrianSmith,AdrianSmithNE,repadriansmith,,adrian_smith.png
N00003689,Steve Chabot,Steve,Chabot,Ohio,House ,https://www.opensecrets.org/members-of-congress/steve-chabot/contributors?cid=N00003689&cycle=2020&recs=100&type=C,chabot.house.gov,SteveChabot,ChabotForCongress,repstevechabot,,steve_chabot.png
N00038767,Warren Davidson,Warren,Davidson,Ohio,House ,https://www.opensecrets.org/members-of-congress/warren-davidson/contributors?cid=N00038767&cycle=2020&recs=100&type=C,davidson.house.gov,Vote_Davidson,gomatter,instawarrendavidson,UCMzuyZWzk44YRNesFzPTeUw,warren_davidson.png
N00031128,Bob Gibbs,Bob,Gibbs,Ohio,House ,https://www.opensecrets.org/members-of-congress/bob-gibbs/contributors?cid=N00031128&cycle=2020&recs=100&type=C,gibbs.house.gov,RepBobGibbs,RepBobGibbs,repbobgibbs,UC4J-kVbeE32Up-b_wTLEUmA,bob_gibbs.png
N00032088,Bill Johnson,Bill,Johnson,Ohio,House ,https://www.opensecrets.org/members-of-congress/bill-johnson/contributors?cid=N00032088&cycle=2020&recs=100&type=C,,JohnsonLeads,billjohnsonleads,billjohnsonleads,RepBillJohnson,bill_johnson.png
N00027894,Jim Jordan,Jim,Jordan,Ohio,House ,https://www.opensecrets.org/members-of-congress/jim-jordan/contributors?cid=N00027894&cycle=2020&recs=100&type=C,jordan.house.gov,Jim_Jordan,repjimjordan,,,jim_jordan.png
,Stephanie Bice,Stephanie,Bice,Okla.,House ,,biceforcongress.com,stephaniebice,VoteStephanieBice,stephaniebice,,stephanie_bice.png
N00025726,Tom Cole,Tom,Cole,Okla.,House ,https://www.opensecrets.org/members-of-congress/tom-cole/contributors?cid=N00025726&cycle=2020&recs=100&type=C,cole.house.gov,TomColeOK04,TomColeOK04,tomcoleok04,,tom_cole.png
N00040829,Kevin Hern,Kevin,Hern,Okla.,House ,https://www.opensecrets.org/members-of-congress/kevin-hern/contributors?cid=N00040829&cycle=2020&recs=100&type=C,hern.house.gov,repkevinhern,repkevinhern,repkevinhern,UC9xqyfYJrYn7tPTm62ld-Ig,kevin_hern.png
N00005559,Frank Lucas,Frank,Lucas,Okla.,House ,https://www.opensecrets.org/members-of-congress/frank-lucas/contributors?cid=N00005559&cycle=2020&recs=100&type=C,lucas.house.gov,FrankDLucas,,repfranklucas,RepFrankLucas,frank_lucas.png
N00033410,Markwayne Mullin,Markwayne,Mullin,Okla.,House ,https://www.opensecrets.org/members-of-congress/markwayne-mullin/contributors?cid=N00033410&cycle=2020&recs=100&type=C,mullin.house.gov,MarkwayneMullin,RepMullin,markwaynemullin,UCLQlm-cbGbJj9baZC6oFsag,markwayne_mullin.png
,Cliff Bentz,Cliff,Bentz,Ore.,House ,,cliffbentz.com,CliffBentz,,,UCeRSaZwkQ4kfauqJkRInQYQ,cliff_bentz.png
N00043242,John Joyce,John,Joyce,Pa.,House ,https://www.opensecrets.org/members-of-congress/john-joyce/contributors?cid=N00043242&cycle=2020&recs=100&type=C,johnjoyce.house.gov,RepJohnJoyce,JoyceForCongress,,UC6F6PTH33VO_wfqfvNjyuiw,john_joyce.png
N00044065,Fred Keller,Fred,Keller,Pa.,House ,https://www.opensecrets.org/members-of-congress/fred-keller/contributors?cid=N00044065&cycle=2020&recs=100&type=C,keller.house.gov,RepFredKeller,CongressmanFredKeller,repfredkeller,,fred_keller.png
N00031647,Mike Kelly,Mike,Kelly,Pa.,House ,https://www.opensecrets.org/members-of-congress/mike-kelly/contributors?cid=N00031647&cycle=2020&recs=100&type=C,kelly.house.gov,MikeKellyPA,MikeKellyforCongress,,,mike_kelly.png
N00029416,Daniel Meuser,Daniel,Meuser,Pa.,House ,https://www.opensecrets.org/members-of-congress/daniel-meuser/contributors?cid=N00029416&cycle=2020&recs=100&type=C,meuser.house.gov,RepMeuser,MeuserforCongress,repmeuser,UCFBiWT7JNlSyUNuxYqjdUtA,daniel_meuser.png
N00034120,Scott Perry,Scott,Perry,Pa.,House ,https://www.opensecrets.org/members-of-congress/scott-perry/contributors?cid=N00034120&cycle=2020&recs=100&type=C,perry.house.gov,Perry4Congress,ScottPerryforCongress,repscottperry,,scott_perry.png
N00041871,Guy Reschenthaler,Guy,Reschenthaler,Pa.,House ,https://www.opensecrets.org/members-of-congress/guy-reschenthaler/contributors?cid=N00041871&cycle=2020&recs=100&type=C,reschenthaler.house.gov,GReschenthaler,GuyReschenthalerPA,,UCaZ188nNR2eLLem4HnrP_iQ,guy_reschenthaler.png
N00038781,Lloyd Smucker,Lloyd,Smucker,Pa.,House ,https://www.opensecrets.org/members-of-congress/lloyd-smucker/contributors?cid=N00038781&cycle=2020&recs=100&type=C,smucker.house.gov,LloydSmuckerPA,RepSmucker,rep.smucker,UCs5iMvWy-oTHyf5HuwB7FCg,lloyd_smucker.png
